id,name,date_of_birth,position,current_club,f_matches,f_substitutions,f_goals,nf_matches,nf_substitutions,nf_goals,national_team,year
192,"Govea, Omar",1996-01-18,Defensive Midfielder,Royal Antwerp FC,1,1,0,0,0,0,Mexico,2018
193,"Hernández, Jorge Daniel",1989-06-10,Centre Midfielder,Pachuca CF,1,1,0,0,0,0,Mexico,2018
194,"Pineda, Orbelín",1996-03-24,Attacking Midfielder,Cruz Azul México,1,0,0,0,0,0,Mexico,2018
195,"González, Jonathan",1999-04-13,Defensive Midfielder,CF Monterrey,0,2,0,0,0,0,Mexico,2018
196,"Lozano, Hirving",1995-07-30,Right Winger,PSV Eindhoven,8,2,1,0,0,0,Mexico,2018
197,"Vela, Carlos",1989-03-01,Secondary striker,Los Angeles FC,7,1,1,0,0,0,Mexico,2018
198,"Hernández, Javier 'Chicharito'",1988-06-01,Centre Forward,West Ham United,6,1,1,0,0,0,Mexico,2018
199,"Jiménez, Raúl",1991-05-05,Centre Forward,Wolverhampton Wanderers,5,4,2,0,0,0,Mexico,2018
200,"Corona, Jesús Manuel",1993-01-06,Right Winger,FC Porto,4,4,0,0,0,0,Mexico,2018
201,"dos Santos, Giovani",1989-05-11,Right Winger,Los Angeles Galaxy,3,2,1,0,0,0,Mexico,2018
202,"Aguirre, Érick",1997-02-23,Left Winger,Pachuca CF,3,1,0,0,0,0,Mexico,2018
203,"Zaldívar, Ángel",1994-02-08,Centre Forward,CF Monterrey,2,3,0,0,0,0,Mexico,2018
204,"Martín, Henry",1992-11-18,Secondary striker,América México,2,2,1,0,0,0,Mexico,2018
205,"Aquino, Javier",1990-02-11,Left Winger,Tigres UA Nuevo León,2,2,0,0,0,0,Mexico,2018
206,"Brizuela, Isaác",1990-08-28,Right Winger,Chivas Guadalajara,2,2,0,0,0,0,Mexico,2018
207,"Pulido, Alan",1991-03-08,Centre Forward,Chivas Guadalajara,2,2,0,0,0,0,Mexico,2018
208,"Peralta, Oribe",1984-01-12,Centre Forward,América México,1,4,0,0,0,0,Mexico,2018
209,"Lainez, Diego",2000-06-09,Left Winger,Real Betis Sevilla,1,1,0,0,0,0,Mexico,2018
210,"Damm, Jürgen",1992-11-07,Right Winger,Tigres UA Nuevo León,0,3,0,0,0,0,Mexico,2018
211,"Ochoa, Guillermo",1985-07-13,Goalkeeper,América México,7,0,0,0,0,0,Mexico,2019
212,"Orozco, Jonathan",1986-05-12,Goalkeeper,Santos Laguna,1,0,0,1,0,0,Mexico,2019
213,"Gudiño, Raúl",1996-04-22,Goalkeeper,Chivas Guadalajara,1,0,0,0,0,0,Mexico,2019
214,"Rodríguez, Luis",1991-01-21,Right Back,Tigres UA Nuevo León,7,0,1,0,0,0,Mexico,2019
215,"Álvarez, Edson",1997-10-24,Centre Back,Ajax Amsterdam,7,0,0,1,0,0,Mexico,2019
216,"Salcedo, Carlos",1993-09-29,Centre Back,Tigres UA Nuevo León,5,1,0,1,0,0,Mexico,2019
217,"Araujo, Néstor",1991-08-29,Centre Back,Celta Vigo,5,0,0,0,0,0,Mexico,2019
218,"Reyes, Diego",1992-09-19,Centre Back,Fenerbahçe SK,4,3,1,0,0,0,Mexico,2019
219,"Moreno, Héctor",1988-01-17,Centre Back,Al-Gharrafa SC,4,2,1,0,0,0,Mexico,2019
220,"Sánchez, Jorge",1997-12-10,Right Back,América México,2,1,0,0,0,0,Mexico,2019
221,"Montes, César",1997-02-24,Centre Back,CF Monterrey,1,2,0,1,0,0,Mexico,2019
222,"Layún, Miguel",1988-06-25,Right Back,CF Monterrey,1,1,0,0,0,0,Mexico,2019
223,"Navarro, Fernando",1989-04-18,Right Back,León FC,1,0,0,1,0,1,Mexico,2019
224,"Gallardo, Jesús",1994-08-15,Left Midfielder,CF Monterrey,7,1,0,1,0,0,Mexico,2019
225,"Guardado, Andrés",1986-09-28,Centre Midfielder,Real Betis Sevilla,6,2,3,1,0,0,Mexico,2019
226,"dos Santos, Jonathan",1990-04-26,Centre Midfielder,Los Angeles Galaxy,6,0,3,0,1,0,Mexico,2019
227,"Alvarado, Roberto",1998-09-07,Attacking Midfielder,Cruz Azul México,5,3,2,1,0,0,Mexico,2019
228,"Pizarro, Rodolfo",1994-02-15,Attacking Midfielder,CF Monterrey,5,1,1,0,1,0,Mexico,2019
229,"Rodríguez, Carlos Alberto",1997-01-03,Centre Midfielder,CF Monterrey,3,4,0,1,0,0,Mexico,2019
230,"Gutiérrez, Erick",1995-06-15,Centre Midfielder,PSV Eindhoven,3,1,0,0,0,0,Mexico,2019
231,"Montes, Luis Arturo",1986-05-15,Left Midfielder,León FC,1,5,2,0,0,0,Mexico,2019
232,"Pineda, Orbelín",1996-03-24,Attacking Midfielder,Cruz Azul México,1,2,0,0,0,0,Mexico,2019
233,"Guzmán, Víctor",1995-02-03,Attacking Midfielder,Pachuca CF,0,1,0,0,0,0,Mexico,2019
234,"Vázquez, José Juan",1988-03-14,Defensive Midfielder,Santos Laguna,0,1,0,0,0,0,Mexico,2019
235,"Jiménez, Raúl",1991-05-05,Centre Forward,Wolverhampton Wanderers,8,0,5,1,0,1,Mexico,2019
236,"Antuna, Uriel",1997-08-21,Right Winger,Los Angeles Galaxy,5,2,3,1,0,1,Mexico,2019
237,"Hernández, Javier 'Chicharito'",1988-06-01,Centre Forward,West Ham United,1,1,1,0,0,0,Mexico,2019
238,"Lainez, Diego",2000-06-09,Left Winger,Real Betis Sevilla,1,1,0,0,0,0,Mexico,2019
239,"Lozano, Hirving",1995-07-30,Right Winger,SSC Napoli,1,0,1,0,0,0,Mexico,2019
240,"Vega, Alexis",1997-11-25,Centre Forward,Chivas Guadalajara,0,4,1,0,1,0,Mexico,2019
